Dataset,Method,Status,Accuracy,Precision,Recall,Macro_F1,Micro_F1,NMI,ARI
tweet,Keyphrase Expansion - weighted_0.8,Success,0.6263333333333333,0.615652176097078,0.6263333333333333,0.6164874536198638,0.6263333333333333,0.21765930673785036,0.24266470704141205
tweet,Keyphrase Expansion - weighted_0.9,Success,0.632,0.6228449522666676,0.632,0.6238563666522222,0.632,0.2214279268894085,0.24648338541137574
tweet,Keyphrase Expansion - weighted_1.0,Success,0.6366666666666667,0.627285328363734,0.6366666666666666,0.6284732991150691,0.6366666666666667,0.22939941891626234,0.254196093707852
clinc,Keyphrase Expansion - concatenated,Success,0.7984444444444444,0.797038331138151,0.7984444444444445,0.7805880487650841,0.7984444444444444,0.932215778433188,0.7600309551773841
clinc,Keyphrase Expansion - average,Success,0.8146666666666667,0.812400366319882,0.8146666666666668,0.798296282200713,0.8146666666666667,0.93258303118893,0.7607736900100472
clinc,Keyphrase Expansion - weighted_0.1,Success,0.7937777777777778,0.7828763442837327,0.7937777777777779,0.7712027915833797,0.7937777777777778,0.9334719441734948,0.7606763557071766
clinc,Keyphrase Expansion - weighted_0.2,Success,0.7895555555555556,0.7845805972799466,0.7895555555555556,0.7702058667912928,0.7895555555555556,0.9277312473785124,0.7438537511431486
clinc,Keyphrase Expansion - weighted_0.3,Success,0.8046666666666666,0.7916295909694362,0.8046666666666666,0.7832522709988791,0.8046666666666666,0.9298095094304621,0.7506067098567468
clinc,Keyphrase Expansion - weighted_0.4,Success,0.7948888888888889,0.7903822468539441,0.7948888888888888,0.7746925442764719,0.7948888888888889,0.9332701451393748,0.7569200593653067
clinc,Keyphrase Expansion - weighted_0.5,Success,0.8146666666666667,0.812400366319882,0.8146666666666668,0.798296282200713,0.8146666666666667,0.93258303118893,0.7607736900100472
clinc,Keyphrase Expansion - weighted_0.6,Success,0.7815555555555556,0.7846964579861975,0.7815555555555554,0.764475434582115,0.7815555555555556,0.9250641002108276,0.7270008944175109
clinc,Keyphrase Expansion - weighted_0.7,Success,0.8137777777777778,0.808633028429446,0.8137777777777777,0.7962661780280793,0.8137777777777778,0.9338692844991793,0.7742135671724556
clinc,Keyphrase Expansion - weighted_0.8,Success,0.7966666666666666,0.7861048674676465,0.7966666666666666,0.7770394125990794,0.7966666666666666,0.9233071475468455,0.7473272797045859
clinc,Keyphrase Expansion - weighted_0.9,Success,0.7986666666666666,0.789576426522084,0.7986666666666667,0.7771820825521989,0.7986666666666666,0.9300748827889377,0.7570230063442044
clinc,Keyphrase Expansion - weighted_1.0,Success,0.816,0.8056695885261238,0.8160000000000001,0.7970712864938191,0.816,0.9328209028497914,0.771887317357907
clinc,Naive KMeans,Success,0.7846666666666666,0.7767082236593078,0.7846666666666666,0.7629959868327275,0.7846666666666666,0.9246513129439106,0.74248540332044
clinc,LLM Correction,Success,0.7857777777777778,0.7770332696610961,0.7857777777777778,0.7638024688133436,0.7857777777777778,0.9247384646718066,0.743251453898465
bank77,Naive KMeans,Success,0.6275974025974026,0.6357776243858152,0.6275974025974025,0.6059188537950843,0.6275974025974026,0.8097129764874328,0.5282874022548594
bank77,LLM Correction,Success,0.6288961038961038,0.6373710502784099,0.6288961038961037,0.6070031272921225,0.6288961038961038,0.810267583128851,0.529282478864601
bank77,Keyphrase Expansion - concatenated,Success,0.6568181818181819,0.6564497652699849,0.6568181818181817,0.6323635718590942,0.6568181818181819,0.8347217756673689,0.5666153876167839
bank77,Keyphrase Expansion - average,Success,0.6139610389610389,0.5973736106603654,0.6139610389610389,0.583212219234526,0.6139610389610389,0.819188951836933,0.5315690451414223
bank77,Keyphrase Expansion - weighted_0.1,Success,0.638961038961039,0.6528095455578328,0.638961038961039,0.6150325560372968,0.638961038961039,0.8224552926842956,0.5459058212715004
bank77,Keyphrase Expansion - weighted_0.2,Success,0.6253246753246753,0.6124910778858522,0.6253246753246753,0.5922826094744498,0.6253246753246753,0.8246823703409809,0.5508009560640087
bank77,Keyphrase Expansion - weighted_0.3,Success,0.6535714285714286,0.64826121255206,0.6535714285714285,0.6317973875208243,0.6535714285714286,0.8293424322424691,0.5605772754798609
bank77,Keyphrase Expansion - weighted_0.4,Success,0.6204545454545455,0.6227819135093647,0.6204545454545455,0.5927040795465279,0.6204545454545455,0.8258092947120784,0.5333894734586943
